,FR-CRC,AT-CRC,CN-CRC,US-CRC,DE-CRC
CCIS88317640ST-4-0,0.09074414539055466,0.40592209096581106,0.6015209346133826,0.49907179321473943,0.49903096497335203
CCIS90164298ST-4-0,0.12041135898937987,0.40559266984127773,0.6014282816724504,0.4983285460215466,0.4971766092954682
CCIS91228662ST-4-0,0.9098630840202354,0.4050167654493993,0.6036621099663467,0.4980309092180471,0.4991792408782765
CCIS93040568ST-20-0,0.09428194087845243,0.40192021125087385,0.6073566589717283,0.4980492777877592,0.5057506120643676
CCIS94417875ST-3-0,0.2678543469607141,0.4009879772776417,0.6017617008337389,0.49631508953065834,0.4992615040978665
CCIS94603952ST-4-0,0.0943803919499656,0.40177610570437655,0.5985437478781549,0.4992337402682456,0.49609520502192767
CCIS95097901ST-4-0,0.21880072012958468,0.4118219880257892,0.5996391716425936,0.5010278190558419,0.5011790891226486
CCIS95409808ST-4-0,0.3780830938400596,0.40218617100708465,0.6019053132075309,0.49827258792020107,0.4989220552574772
CCIS98482370ST-3-0,0.05859722292403968,0.40049852721338264,0.5962475685008541,0.5001571072388727,0.5005926638216655
CCIS98512455ST-4-0,0.7375756358757842,0.40468937936399196,0.6012672706176206,0.5042978988087523,0.4952304802147829
CCIS98832363ST-4-0,0.3499986156762522,0.40165715507418165,0.601764351737391,0.49960765407792673,0.4964034056647791
CCMD10032470ST-11-0,0.4775875848737134,0.41107371590597314,0.5922659895571935,0.499649053134626,0.30855165756736214
CCMD10191450ST-11-0,0.4769523839221899,0.3968446744141349,0.5995345343127236,0.5000419566297215,0.0076749214564841226
CCMD11006829ST-21-0,0.4825477730359614,0.4063132442308787,0.6048156437229751,0.5019053260573919,0.7345445261732089
CCMD12232071ST-21-0,0.4777076377672682,0.40581432083345587,0.6063568162493459,0.5038143624990808,0.7605593686176739
CCMD13071240ST-21-0,0.48094533985419696,0.4061137075451285,0.613372127237828,0.5040247633141262,0.9485007165094694
CCMD13934959ST-21-0,0.4778573060395736,0.40220887401877875,0.6040286529784508,0.5008643045349782,0.8774496710564168
CCMD14479708ST-21-0,0.48091958456763284,0.40178539691622067,0.6050607357359177,0.5010005392444569,0.9748959925162908
CCMD15562448ST-11-0,0.47780348913225446,0.41303020133887886,0.6013194918998366,0.505494977902141,0.680753435894472
CCMD17410933ST-11-0,0.4756226119466103,0.39926399580080607,0.5900421325144221,0.49748747164679286,0.31081983943392777
CCMD18579000ST-11-0,0.4787291293723478,0.3994283733483375,0.5999676493041368,0.4985302189082621,0.11748043543566325
CCMD18829815ST-11-0,0.4762336597648021,0.3995625774709988,0.596850598012221,0.4981559139016333,0.7123294115244893
CCMD18872694ST-21-0,0.47790719228048495,0.3996768214356648,0.6010652659201691,0.49403766039923885,0.6218489492568271
CCMD19168690ST-11-0,0.48106959787666215,0.4019486504363579,0.5983054564781506,0.4992924688722187,0.841218527243376
CCMD19497912ST-21-0,0.4797264235653183,0.4017396911030214,0.6060942956825301,0.5076564881084277,0.8968109950372997
CCMD21593359ST-11-0,0.48350773004963143,0.403860211471861,0.6091196935536404,0.5019494622092776,0.5632856405992666
CCMD21703880ST-11-0,0.48512205514879697,0.40144306125797213,0.604427984929033,0.49736506831509475,0.8096635289021454
CCMD22852639ST-11-0,0.4801218356369248,0.40086116296996915,0.6047061812221186,0.49917370710577547,0.020802369517298296
CCMD23101338ST-21-0,0.47825962889387535,0.4009539381158438,0.6014259499431548,0.5005853786856501,0.3524563636407988
CCMD23541216ST-11-0,0.4785093315510374,0.39950118715056226,0.6010500511140959,0.4970802776887708,0.1588322146887195
CCMD25475945ST-11-0,0.47749459184433013,0.4146535004252261,0.6020958018330981,0.5058999123203821,0.566623598651258
CCMD25511638ST-21-0,0.47579783666332626,0.402371932936971,0.6049665256018426,0.5002566779280129,0.5307154604614761
CCMD25963797ST-21-0,0.4805979084520542,0.39991498450585383,0.6027857693819447,0.502169687873641,0.9187379360638449
CCMD26625622ST-11-0,0.4778370983668421,0.4013237037829415,0.5981461123599419,0.49976228343704737,0.5938097705324946
CCMD26709089ST-21-0,0.4715681314021954,0.3991909454348284,0.5980308125355114,0.49987781297235734,0.7465823840218001
CCMD26925580ST-21-0,0.4757332808251509,0.4016593878440892,0.5994500230075838,0.4994254490568905,0.7280187774761362
CCMD27463710ST-11-0,0.4821369462482652,0.4003529838606611,0.604430809358265,0.49971801414794786,0.19251871893620273
CCMD27867141ST-11-0,0.4817958249875533,0.3985995543754149,0.6034045090858382,0.49883813723619763,0.1051676185237392
CCMD28738636ST-11-0,0.47901116222890816,0.39903343663134744,0.5964760657416823,0.4987416781157612,0.10635028980331793
CCMD29706695ST-11-0,0.4812787536938244,0.406141103975009,0.601447275975149,0.5019631439406512,0.14342505121263333
CCMD30626189ST-11-0,0.47622064643167966,0.4044712349691449,0.6113381767158336,0.4998754590031817,0.9849202793497398
CCMD30627121ST-11-0,0.4835805993943282,0.414228501853035,0.6036292353285577,0.4829031291848203,0.582928103983522
CCMD31009081ST-11-0,0.4808494930819415,0.4016263720064728,0.5994175616076639,0.5014406580647743,0.0493729131185451
CCMD31134579ST-11-0,0.4803671352880302,0.40487530067308036,0.6019033357095003,0.49713542734732047,0.5411931140810147
CCMD32288175ST-11-0,0.48138847963674797,0.404467364805212,0.6008141103896256,0.5011270819283811,0.5920522809173127
CCMD32965613ST-11-0,0.4787347601596077,0.401632552565585,0.5999255885080615,0.4997716714475091,0.02179992569473161
CCMD34381688ST-21-0,0.4869221257120689,0.4017464420167677,0.6022081205977013,0.501652184826347,0.44961290462535286
CCMD35081859ST-11-0,0.4789409940362735,0.3971622754004297,0.6001014113420577,0.4995614207354721,0.1619578640165345
CCMD35633353ST-11-0,0.47985145183681654,0.39988711212104516,0.6003792724116032,0.49518258255140163,0.5861933363913278
CCMD35801800ST-11-0,0.47873256429838,0.40164123785515,0.5969326342462729,0.49989819780704803,0.266297661093184
CCMD35802077ST-21-0,0.47716220282910804,0.4001847164105681,0.595646464199886,0.5036856992898615,0.13827315801735324
CCMD37575804ST-11-0,0.4718087971870699,0.40114721230494876,0.5978747849728149,0.49956074373977377,0.40857944110251554
CCMD38158721ST-11-0,0.4763606902104841,0.400575592550762,0.5984914980116091,0.49849614696573163,0.021104074763625087
CCMD39157124ST-11-0,0.4757861478815157,0.40503678515867003,0.5971629644549533,0.4976238119546624,0.07962598381686234
CCMD39882286ST-11-0,0.4768976794950042,0.4107215131086599,0.6037416118728705,0.49825181337744234,0.17443759595683073
CCMD40701343ST-21-0,0.4781821870559548,0.40168982660062524,0.6055205173998249,0.499582642553659,0.9542602716558264
CCMD41202658ST-11-0,0.48088334210448924,0.4081452854983973,0.5995891898296537,0.5019224817885964,0.027347424720139357
CCMD41521570ST-11-0,0.47549512187874104,0.40157490084435227,0.5969548082501048,0.4993961567249323,0.06278098957736382
CCMD42428553ST-21-0,0.4826291033072614,0.39965536878114244,0.5995404462372277,0.49624558168627125,0.7155424027925971
CCMD42956136ST-11-0,0.4843499147133493,0.40412751236316313,0.6045617778038188,0.5003972743504298,0.09171290736510099
CCMD45004878ST-11-0,0.47909904932415304,0.39871624359253344,0.6004326465615227,0.49730448318753795,0.2711595999831192
CCMD45812507ST-11-0,0.47212203047087037,0.40006791589263024,0.5977751575646139,0.5017103774327739,0.14809942514764332
CCMD45988061ST-21-0,0.4866720009580389,0.4014743357868614,0.6073431942172363,0.5033265154031635,0.9963297285076962
CCMD46222674ST-21-0,0.479574028956187,0.4017935743753356,0.600298584053837,0.5005225414306067,0.08578081809856139
CCMD46727384ST-11-0,0.47960742762086617,0.40126109678917943,0.5996194826704907,0.4973149616000197,0.5700679444193805
CCMD46947453ST-21-0,0.47626561798467876,0.39798397590303286,0.6004243534065601,0.5028703319109386,0.5892359869807261
CCMD48236717ST-21-0,0.4787823593148128,0.40879605688905946,0.6009345488086644,0.5026193293458182,0.5315123762554945
CCMD49025643ST-11-0,0.48060750521360934,0.40267944082634927,0.6035908743698613,0.5011983073006878,0.48151389067163886
